"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"120","1","120","58.669991","48","0","6","3.460000","4","3","9","5.260001","5","4","7","6.869999","6","0","11","5.380000","7","261",
"121","1","121","56.399998","52","0","7","3.320000","3","2","8","5.240001","5","3","7","6.920001","7","0","9","4.780001","7","262",
"122","2","122","65.290024","58","0","6","3.320000","3","2","10","5.440001","6","4","7","6.870000","6","0","9","5.050000","7","263",
"123","1","123","59.109993","24","0","6","2.970000","3","2","9","5.260001","6","4","7","6.920001","7","0","11","5.260001","6","263",
"124","1","124","65.099976","10","1","7","3.389999","4","2","8","5.230001","4","6","7","6.950001","7","0","9","5.119999","4","265",
"125","4","125","62.859997","77","0","6","3.380000","3","2","10","5.250000","5","5","7","6.949999","7","0","9","5.080001","3","272",
"126","1","124","61.580017","76","0","7","3.500000","5","2","10","5.530001","7","4","7","6.920000","7","1","11","5.300002","7","273",
"127","4","124","63.940006","59","0","7","3.339999","5","2","8","5.180001","5","3","7","6.939999","7","0","11","5.010001","4","274",
"128","2","128","63.130001","23","0","6","3.490000","5","2","9","5.340000","5","6","8","6.989999","7","0","11","5.130000","5","277",
"129","3","129","68.029976","50","0","6","3.460000","4","2","8","5.290000","4","5","8","6.989998","7","0","7","4.629999","3","279",
"130","3","129","64.789993","86","0","6","3.400000","4","2","9","5.420001","6","4","8","6.960000","7","0","11","5.230001","3","279",
"131","1","131","64.209984","53","0","7","3.230000","3","2","8","5.330001","4","5","8","7.070000","7","1","10","5.250001","3","280",
"132","1","132","67.759995","112","1","6","3.469999","4","2","10","5.480001","5","4","8","7.020000","7","0","11","5.000000","6","283",
"133","1","133","62.520012","125","0","9","3.409999","4","2","9","5.500000","4","6","8","7.070001","7","0","10","4.830002","3","287",
"134","1","134","70.910004","43","0","5","3.319999","5","2","9","5.420000","6","4","8","7.080000","7","0","11","5.239999","7","292",
"135","2","135","70.909973","92","0","7","3.420000","3","2","9","5.310000","4","2","8","6.979998","7","0","12","5.179998","3","294",
"136","1","136","63.990017","64","0","6","3.350000","0","2","9","5.120000","4","6","8","7.080000","7","0","11","5.190001","3","300",
"137","1","137","67.610031","62","0","7","3.300000","2","3","9","5.430001","5","5","8","7.130001","7","0","9","4.840001","5","301",
"138","2","138","68.450005","130","0","6","3.319999","4","2","8","5.500000","2","5","8","7.150001","7","0","10","5.129999","6","301",
"139","5","139","69.020004","82","0","6","3.560000","5","2","9","5.410001","5","4","8","7.090000","8","0","12","5.059998","6","301",
"140","1","140","74.179977","132","1","7","3.549999","3","2","8","5.430001","5","4","8","7.059999","7","0","11","5.120001","6","303",
"141","1","141","74.310013","58","0","7","3.389999","4","3","9","5.430000","6","3","8","7.170001","7","1","9","4.929999","5","303",
"142","1","142","71.059982","11","1","6","3.230000","2","3","8","5.330000","5","6","8","7.110001","7","1","11","5.020000","5","304",
"143","1","143","71.909996","79","0","6","3.420000","4","2","8","5.380001","5","6","8","7.250000","7","0","11","5.130002","5","305",
"144","1","144","78.680000","20","1","6","3.350000","3","2","9","5.219999","6","6","8","7.270000","7","1","11","5.440001","6","306",
"145","1","144","71.330002","131","0","7","3.370001","4","2","9","5.430001","6","3","8","7.179999","7","1","10","5.419999","9","306",
"146","1","142","72.090004","122","0","7","3.420000","4","2","7","5.050000","6","6","8","7.240001","7","0","11","4.920001","7","306",
"147","2","145","69.960022","72","0","8","3.420000","5","2","8","5.290001","5","5","8","7.200000","7","1","12","5.210001","6","307",
"148","2","147","76.360031","119","0","7","3.529999","5","2","10","5.540000","3","1","8","7.170001","8","0","9","5.020001","0","307",
"149","2","149","76.780006","63","1","7","3.370000","2","3","9","5.460002","6","4","8","7.179999","7","0","11","5.039999","0","309",
"150","1","149","72.639984","82","0","6","3.319999","3","2","8","5.420001","6","4","8","7.210000","7","0","9","4.700000","5","309",
"151","1","151","78.499985","112","1","7","3.340001","6","2","10","5.480000","5","2","8","7.210000","7","0","11","5.060000","3","314",
"152","1","152","78.989990","41","0","7","3.460000","3","2","10","5.410001","6","3","8","7.290001","8","0","9","5.170002","5","319",
"153","1","153","70.140030","32","0","6","3.340000","2","3","8","5.500000","5","6","8","7.260000","7","0","11","5.000000","3","320",
"154","1","154","85.040024","154","0","6","3.400000","4","2","8","5.420000","6","1","8","7.270001","8","0","11","5.100000","3","321",
"155","2","155","80.610023","91","0","7","3.490000","3","2","8","5.210001","6","4","8","7.269998","7","1","11","5.300000","3","323",
"156","1","156","83.589996","64","0","6","3.490000","3","2","7","5.290001","5","6","8","7.360000","8","1","12","5.500000","10","324",
"157","2","154","76.850044","82","0","6","3.319999","3","4","9","5.380000","4","5","8","7.320000","7","0","9","4.990001","5","326",
"158","3","158","83.940002","27","0","6","3.430000","4","3","8","5.500000","6","4","8","7.360000","7","2","13","5.420000","5","328",
"159","2","159","75.229996","75","0","7","3.250000","4","2","8","5.250000","2","5","8","7.319999","7","0","11","5.080002","5","328",
"160","3","160","85.230003","16","2","8","3.620000","4","2","9","5.150000","7","4","8","7.280000","7","0","12","5.170000","7","329",
"161","1","157","81.350006","10","0","7","3.539999","4","2","11","5.490002","11","1","8","7.330000","8","1","9","4.960002","5","331",
"162","1","162","79.450012","18","0","9","3.300000","3","2","9","5.619999","6","5","8","7.399998","8","0","9","4.769998","5","331",
"163","2","163","77.199982","55","1","6","3.480000","2","2","8","5.429998","6","3","8","7.249998","7","0","11","5.019999","5","332",
"164","4","163","73.939995","75","1","6","3.460001","5","2","8","5.400000","6","6","8","7.430000","8","0","9","4.970001","5","333",
"165","2","164","76.090004","15","1","9","3.510000","4","2","10","5.629999","4","6","8","7.320000","8","0","11","4.980001","7","333",
"166","5","166","81.800011","92","2","7","3.430001","3","2","9","5.360002","6","6","8","7.350000","7","0","11","5.310000","7","333",
"167","1","167","90.939980","78","0","7","3.440000","4","2","10","5.520000","4","4","8","7.460000","7","0","11","5.460000","5","335",
"168","3","168","88.149994","158","0","6","3.410000","3","2","9","5.350001","4","3","8","7.280000","7","0","10","5.280001","3","335",
"169","4","168","86.480019","105","2","7","3.559999","5","2","9","5.380001","2","5","8","7.510001","7","0","13","5.370002","9","336",
"170","4","170","86.599983","63","0","7","3.600000","1","2","9","5.450001","6","6","8","7.480000","8","0","12","5.049998","7","345",
"171","1","171","79.190010","136","0","8","3.499999","5","3","9","5.530002","6","6","8","7.490000","7","0","9","5.280001","3","345",
"172","1","171","86.850014","47","0","6","3.360000","3","2","10","5.469999","6","2","8","7.360001","7","0","9","5.009999","5","345",
"173","5","173","87.169991","41","0","9","3.460001","5","2","8","5.450001","6","4","8","7.440002","8","1","11","5.429999","5","349",
"174","1","174","95.289986","22","0","6","3.289999","5","2","9","5.420001","5","5","8","7.599998","8","0","11","5.330001","7","351",
"175","1","175","86.919975","22","0","7","3.560000","3","2","9","5.289999","4","4","8","7.579998","8","1","11","5.390001","7","352",
"176","2","175","87.940002","28","2","6","3.280000","3","2","9","5.490000","5","5","8","7.549999","8","0","9","5.140002","1","354",
"177","1","176","95.260010","121","0","6","3.460000","2","4","9","5.540000","6","7","8","7.539999","7","0","9","5.319999","3","354",
"178","1","178","93.020027","145","1","8","3.630000","3","2","9","5.460001","6","4","8","7.430000","7","0","12","5.279999","4","356",
"179","2","179","87.770020","175","0","7","3.380000","3","3","9","5.450001","7","6","8","7.530001","7","0","11","5.080000","5","356",
"180","1","176","88.830009","176","1","9","3.710000","5","2","9","5.430002","5","3","8","7.450000","8","0","11","5.220001","5","359",
"181","1","181","98.070000","91","0","8","3.520000","3","2","8","5.400002","7","4","8","7.500000","8","1","11","5.089999","3","362",
"182","2","182","92.860046","35","1","6","3.400001","2","2","10","5.530002","6","2","8","7.600000","8","0","12","5.110001","7","365",
"183","2","183","100.040031","86","0","7","3.650000","3","2","7","5.420000","6","4","8","7.510001","8","0","10","5.259999","5","365",
"184","1","183","94.780029","83","0","7","3.209999","3","2","9","5.420001","6","3","8","7.490000","8","0","11","5.250000","7","365",
"185","1","183","94.870003","57","0","6","3.470000","4","2","10","5.340001","4","5","8","7.560001","8","0","11","5.370001","5","366",
"186","3","186","103.589973","96","0","7","3.390000","4","2","8","5.400001","7","3","8","7.520000","8","0","11","5.420000","7","368",
"187","1","187","102.289986","2","0","6","3.490001","4","3","7","5.399999","5","7","8","7.690000","7","0","9","4.859999","4","368",
"188","2","188","94.479965","79","0","6","3.260000","6","2","10","5.480001","5","6","8","7.630000","7","1","12","5.280000","3","369",
