"Sample Count","Linear Search Min","Linear Search Max","Linear Search Avg","Linear Search Single","Line Fit Min","Line Fit Max","Line Fit Avg","Line Fit Single","Line Fit Blind Min","Line Fit Blind Max","Line Fit Blind Avg","Line Fit Blind Single","Binary Search Min","Binary Search Max","Binary Search Avg","Binary Search Single","Hybrid Min","Hybrid Max","Hybrid Avg","Hybrid Single","Sequence",
"84","2","84","39.660000","59","1","2","1.960000","2","3","4","3.980000","4","1","7","6.480000","7","1","3","2.820000","3","166",
"85","1","84","42.389999","52","1","2","1.930000","2","3","4","3.889999","4","5","7","6.470000","7","1","3","2.910000","3","168",
"86","2","85","44.210011","23","1","2","1.940000","2","3","4","3.940000","3","2","7","6.489999","7","1","3","2.870000","3","170",
"87","2","87","41.489986","8","1","2","1.910000","2","3","4","3.950000","4","4","7","6.539999","4","1","3","2.800001","3","172",
"88","2","88","44.280018","38","1","2","1.950000","2","3","4","3.930000","4","5","7","6.580000","6","1","3","2.849999","3","174",
"89","3","89","50.320004","82","1","2","1.920000","2","3","4","3.940001","4","3","7","6.470001","7","1","3","2.810000","3","176",
"90","4","88","43.019989","9","1","2","1.950000","2","3","4","3.900000","4","5","7","6.539999","6","1","3","2.859999","3","178",
"91","2","90","50.020000","18","1","2","1.950000","2","3","4","3.970000","4","4","7","6.620000","6","1","3","2.930000","3","180",
"92","2","92","44.160007","92","1","2","1.910000","1","3","4","3.970000","4","5","7","6.640000","7","1","3","2.830000","3","182",
"93","2","93","43.690002","87","1","2","1.910000","2","3","4","3.950000","4","6","7","6.740001","7","1","3","2.850000","3","184",
"94","3","93","46.570011","43","1","2","1.930000","2","3","4","3.960001","4","4","7","6.589999","7","0","3","2.810001","0","186",
"95","3","95","47.720001","89","1","2","1.950000","2","3","4","3.940000","4","4","7","6.630000","7","1","3","2.830000","3","188",
"96","2","96","49.389992","35","1","2","1.920000","2","3","4","3.970001","4","3","7","6.679999","6","1","3","2.880001","3","190",
"97","2","97","48.809998","68","1","2","1.910000","2","3","4","3.920000","4","3","7","6.630001","7","1","3","2.870000","1","192",
"98","3","96","49.240013","93","1","2","1.910000","2","3","4","3.889999","4","6","7","6.729999","6","1","3","2.860001","3","194",
"99","2","98","46.110004","78","1","2","1.940000","2","3","4","3.930000","4","5","7","6.699999","7","1","3","2.890001","3","196",
"100","2","100","50.840000","89","1","2","1.960000","2","3","4","3.950000","4","4","7","6.690000","7","1","3","2.820001","3","198",
"101","4","101","50.820007","44","1","2","1.880000","2","2","4","3.930000","4","6","7","6.779999","7","1","3","2.849999","3","200",
"102","3","100","52.260010","76","1","2","1.930000","2","3","4","3.890000","4","5","7","6.780001","7","1","3","2.859999","3","202",
"103","2","102","53.110001","12","1","2","1.940000","2","2","4","3.900000","4","2","7","6.719999","7","1","3","2.890000","3","204",
"104","2","104","51.459995","9","1","2","1.950000","2","3","4","3.940000","4","3","7","6.780001","7","0","3","2.850000","3","206",
"105","2","105","56.749996","51","1","2","1.950000","2","3","4","3.910000","3","3","7","6.710001","7","0","3","2.849999","3","208",
"106","2","106","55.399979","21","1","2","1.920000","2","3","4","3.950000","4","2","7","6.690000","7","1","3","2.919999","3","210",
"107","3","106","53.359989","50","1","2","1.950000","2","3","4","3.890000","4","3","7","6.730001","7","1","3","2.889999","3","212",
"108","1","108","55.949978","80","1","2","1.940000","2","3","4","3.950000","4","4","7","6.839999","7","1","3","2.900000","2","214",
"109","2","106","53.689987","79","1","2","1.950000","2","3","4","3.920000","4","5","7","6.810000","7","1","3","2.820001","3","216",
